node,children_node
machine_scoring_model_v2,OverGrossMarginStd
machine_scoring_model_v2,OverIntangibleAssets
machine_scoring_model_v2,OverInterestExpense2InterestBearingDebt
machine_scoring_model_v2,OverInterestMultipleIndustryDeviation
machine_scoring_model_v2,OverInventoryTurnoverDeviation
machine_scoring_model_v2,OverLeverageIndusstryDeviation
machine_scoring_model_v2,OverLiabilityGrowth
machine_scoring_model_v2,OverLiabilitySupport
machine_scoring_model_v2,OverLiquidityIndustryDeviation
machine_scoring_model_v2,OverNetProfitIndustryDeviation_v2
machine_scoring_model_v2,OverNonOperIncomeRatio
machine_scoring_model_v2,OverQuickLiquidityIndustryDeviation
machine_scoring_model_v2,OverRecurNetProfitIndustryDeviation_v2
machine_scoring_model_v2,OverRecurRoaIndustryDeviation_v2
machine_scoring_model_v2,OverRoaIndustryDeviation_v2
machine_scoring_model_v2,ParentEquityAbnormal
machine_scoring_model_v2,QuarterRevenueAbnormal
machine_scoring_model_v2,RealEstateRedLine_v2
machine_scoring_model_v2,RevenueAndARGrowthDeviationAbnormal
machine_scoring_model_v2,RevenueGrowthAbnormal
machine_scoring_model_v2,UnderCashRatio
machine_scoring_model_v2,UnderEBIT2InterestBearingDebt
machine_scoring_model_v2,UnderInterestRate_v2
machine_scoring_model_v2,UnderNetOperateCashFlow2OperateProfit_v2
machine_scoring_model_v2,UnderOperateCashIn2Revenue_v2
MainOperIncomeRatio,
MainOperIncomeRatioDeviation,
ManagersPaymentRatio2IndustryPercentile,
manager_absolute_return_ability,
manager_asset_allocation_ability,
manager_attach_defense_ability,
manager_awards,
manager_bond_allocation_industry,
manager_cumulative_manage_fund_quantity,dep_manager_cumulative_manage_fund_quantity
manager_industry_attribution,dep_manager_industry_attribution
manager_invest_behaviour,dep_manager_invest_behaviour
manager_return_type_rankings,dep_manager_return_type_rankings
manager_sharp_ratio,
manager_stock_allocation_industry,
manager_style_preference,
manager_theme_concept,
manager_valuesize_attribution,
manager_violation,
manager_win_ratio,
MarketShareLTGrowthLyr,
NegaMarketShareGrowth,MarketShareLTGrowthLyr
NegaNetAssetsGrowth,NetAssetsGrwothLr
NegeRevenueGrowth,OperateRevenueGrowthTtm
NetAssetsAdjustDeviationLyr,
NetAssetsGrwothLr,
NetAssetsGrwothLrStar,
NetInterestBearingDebtRatio,
NetNonOperatingIncomeRatio,
NetNonOperatingIncomeRatioDev,
NetNonOperatingIncomeRatioDeviation,
NetOperateCashflow,
NetOperateCashflow2ARGrowthDeviation,NetOperateCashFlow2ARGrwothTtm
NetOperateCashflow2ARGrowthDeviation_v2,NetOperateCashFlow2ARGrwothTtm_v2
NetOperateCashFlow2ARGrwothTtm,
NetOperateCashFlow2ARGrwothTtm_v2,
NetOperateCashFlow2NetOperateProfitTtm,
NetOperateCashflowAbnormal,NetOperateCashflow
NetOperateCashflowAbnormal,NetOperateCashflowCumu5Year
NetOperateCashflowCumu5Year,
NetOperateCashFlowGrowth2RevenueGrwothTtm,
